Thread ID: 213420
Total: 18.837325

 %self     total     self     wait    child    calls  name
  0.04      0.43     0.01     0.00     0.42      700  Builder::XmlBase#_escape_quote
  0.04      0.01     0.01     0.00     0.00      800  SQLite3::Statement#types
  0.04      0.05     0.01     0.00     0.04      500  ActiveSupport::BufferedLogger#auto_flush
  0.04      0.01     0.01     0.00     0.00      900  Hash#update
  0.04      0.02     0.01     0.00     0.01      802  <Class::Time>#now
  0.04      0.01     0.01     0.00     0.00     1306  Kernel#instance_variable_set
  0.04      0.14     0.01     0.00     0.13      100  ActionController::CgiRequest#stale_session_check!
  0.04      0.01     0.01     0.00     0.00     1900  <Class::ActiveRecord::Base>#active_connections
  0.04      7.33     0.01     0.00     7.33      400  Builder::XmlBase#_nested_structures-1
  0.04      2.31     0.01     0.00     2.30      100  ActionController::Benchmarking::ClassMethods#silence
  0.04      0.02     0.01     0.00     0.01      900  Object#initialize-2
  0.04     12.93     0.01     0.00    12.92      100  <Module::Benchmark>#measure
  0.04      0.01     0.01     0.00     0.00     1400  Array#concat
  0.04      0.02     0.01     0.00     0.01      300  ActionController::AbstractResponse#content_type
  0.04      0.02     0.01     0.00     0.02      100  ActionController::AbstractResponse#handle_conditional_get!
  0.04      0.13     0.01     0.00     0.12      100  ActionController::Layout::ClassMethods#inherited_without_helper
  0.04      0.01     0.01     0.00     0.01      700  HashWithIndifferentAccess#convert_key
  0.04      0.57     0.01     0.00     0.56      300  Set#merge
  0.04      0.01     0.01     0.00     0.00      800  Hash#keys
  0.04      1.49     0.01     0.00     1.48      800  Kernel#send!-1
  0.04      0.07     0.01     0.00     0.06      100  ActionController::CgiResponse#out
  0.04      0.01     0.01     0.00     0.00     1100  String#tr
  0.04      0.04     0.01     0.00     0.04      200  SQLite3::Statement#initialize
  0.04      0.02     0.01     0.00     0.01     1000  SQLite3::Driver::Native::Driver#step
  0.04      0.12     0.01     0.00     0.11      100  <Class::ActiveRecord::Base>#reset_table_name
